,temperature,humidity,rainfall
0,24.407447,74.010644,221.72
1,24.585275,75.489498,199.24
2,25.096599,76.572586,214.0
3,23.929693,77.567943,225.64
4,24.902224,78.549665,213.47
5,28.451192,75.256428,232.92
6,25.724024,73.485777,212.08
7,28.183183,78.771925,213.95
8,25.519243,77.774831,226.9
9,24.937203,78.359733,231.94
10,25.753431,76.315081,214.5
11,28.029412,75.51465,224.46
12,23.953084,77.543877,225.17
13,26.010003,74.858204,229.59
14,26.881848,73.839156,193.72
15,27.248657,78.771917,211.2
16,26.210811,74.037502,225.27
17,25.716143,74.107282,221.32
18,26.532053,78.491582,198.74
19,26.40193,76.036801,231.0
20,25.282422,78.867242,203.03
21,26.260765,77.992486,197.3
22,26.311044,78.191429,232.99
23,29.372997,73.295845,212.68
24,23.657544,73.370192,199.93
25,26.187505,75.417958,216.73
26,27.881136,74.464289,229.52
27,29.303007,76.037377,220.03
28,25.405777,77.405102,198.69
29,28.830904,74.788756,220.61
30,25.071468,74.689281,211.85
31,27.985852,76.198647,196.71
32,23.965492,75.441533,214.69
33,25.475377,78.556895,201.21
34,24.16635,75.177652,201.57
35,24.652153,78.012431,222.27
36,24.191059,77.375617,222.58
37,28.614779,73.150757,206.14
38,25.39601,76.179945,224.15
39,29.274493,73.310601,212.43
40,26.57011,77.604396,202.1
41,27.89343,76.643409,206.33
42,25.524587,75.947756,212.7
43,28.127191,77.723638,212.03
44,24.40802,76.452818,209.79
45,25.634507,75.693288,202.06
46,29.424531,78.402754,227.11
47,25.669955,75.982954,215.23
48,27.299264,74.415793,193.45
49,29.412038,73.89955,205.2
50,25.865364,73.338964,225.96
51,29.367221,76.699877,225.97
52,29.116604,73.67079,230.64
53,26.22763,73.412815,224.16
54,25.740021,73.63551,194.16
55,26.331532,78.224684,206.16
56,29.105855,74.982022,229.92
57,24.978708,76.948485,208.84
58,23.737821,73.995563,207.52
59,25.322976,74.130505,219.95
60,26.772906,77.434948,217.62
61,25.25212,76.68214,224.46
62,26.02693,76.892891,204.08
63,26.750531,78.597842,213.34
64,27.539516,74.48658,232.86
65,27.914611,73.307532,223.36
66,24.793268,74.933836,201.01
67,28.963576,76.330573,202.12
68,27.459311,74.223016,217.97
69,29.094819,76.613637,229.41
70,24.282287,78.695234,212.14
71,27.658892,78.198379,231.17
72,27.872864,75.580592,205.48
73,27.581814,78.08342,210.76
74,25.966934,73.596568,216.31
75,27.306982,76.080086,213.6
76,25.471233,77.024622,215.3
77,25.184291,78.658575,202.37
78,29.06434,78.082227,195.54
79,29.183776,76.516727,196.65
80,25.350522,73.809708,219.39
81,27.549567,75.137195,209.86
82,24.871954,74.777414,207.1
83,28.963653,73.804691,201.59
84,29.222195,76.383525,223.14
85,25.548742,74.936877,203.82
86,24.909491,76.958463,231.34
87,29.031685,74.492628,232.41
88,23.79576,75.02956,194.15
89,29.18506,73.445214,209.95
90,28.484921,74.816514,194.38
91,23.951051,75.588518,200.43
92,23.886908,78.361915,223.15
93,28.957724,74.982138,226.95
94,24.246605,75.119143,227.63
95,28.495345,77.756708,230.9
96,26.505159,75.233785,214.37
97,25.043355,73.526312,200.46
98,24.225998,75.143435,227.87
99,24.053438,74.287174,225.65
