,temperature,humidity,rainfall
0,25.247698,67.182838,210.91
1,25.758651,66.261636,223.33
2,26.356348,67.12871,206.23
3,30.398107,71.172461,225.77
4,28.592172,71.622718,210.53
5,25.430487,66.622757,233.7
6,27.288419,69.595756,241.47
7,26.773811,67.721306,223.03
8,29.312539,68.776348,239.28
9,29.260529,67.480966,225.09
10,28.583454,68.610958,219.19
11,25.844861,70.627737,227.63
12,30.493725,66.793224,221.48
13,29.762131,69.795616,205.91
14,28.707341,70.439547,237.78
15,30.638802,68.03018,205.54
16,26.164633,69.213526,232.34
17,28.27191,67.662291,208.67
18,30.03916,68.859984,231.69
19,28.211871,68.322035,216.41
20,25.80131,66.224738,206.37
21,30.26573,66.057716,236.79
22,29.548462,71.872278,202.58
23,28.583333,70.235941,217.94
24,29.81737,66.893184,213.99
25,25.402427,67.570708,209.87
26,26.785443,70.934823,226.26
27,30.733113,70.640552,239.66
28,30.706439,68.62391,233.14
29,25.947583,70.752167,230.49
30,26.321022,66.099721,218.47
31,31.206099,69.587593,213.58
32,29.187817,66.545137,231.81
33,25.770404,68.26128,204.06
34,25.731155,70.986603,203.05
35,29.280317,67.729688,202.7
36,26.840283,67.658112,226.54
37,29.306482,71.260062,212.69
38,29.060423,66.560094,229.84
39,28.094355,69.669685,206.21
40,29.286432,68.864562,220.0
41,27.690947,69.305871,204.22
42,28.426098,66.192877,221.34
43,31.178076,71.324189,223.58
44,30.661489,71.171673,205.38
45,29.077062,71.933781,237.75
46,25.959009,68.372209,216.7
47,26.227722,66.841256,235.37
48,27.347599,70.671749,212.87
49,30.733647,70.854117,221.36
50,26.729336,70.631859,221.83
51,28.694698,67.299103,202.32
52,29.518614,66.201177,226.94
53,30.918665,70.397959,203.05
54,28.775663,71.557066,225.32
55,28.073056,68.750311,228.39
56,29.968347,69.436429,222.34
57,31.185027,66.032855,224.36
58,26.520207,67.373347,215.42
59,26.716884,69.122892,216.59
60,30.181433,69.307422,217.21
61,25.467902,71.059213,213.2
62,26.82788,71.225994,224.37
63,29.920869,68.23202,206.36
64,26.945515,68.83353,209.5
65,25.487131,69.270897,202.5
66,25.82138,67.272922,215.36
67,27.961616,67.440966,238.65
68,26.766574,71.107179,218.72
69,28.676366,67.937433,206.46
70,29.835759,67.55179,241.99
71,31.184979,67.460159,202.15
72,27.620763,66.572776,207.09
73,27.517585,71.995542,236.93
74,29.491011,67.01411,217.39
75,29.353589,69.404172,218.81
76,29.123086,70.131474,221.0
77,28.550437,70.257479,238.96
78,28.353273,71.292634,241.36
79,26.095975,68.455343,213.91
80,25.346247,70.919241,222.64
81,28.444947,71.879078,204.89
82,29.234008,66.439257,223.97
83,30.715858,68.079063,210.87
84,28.847391,67.20465,216.04
85,26.640488,70.813758,208.93
86,30.857072,71.988029,229.79
87,25.426476,66.268605,230.62
88,28.224013,70.633986,207.49
89,31.066156,67.417758,231.08
90,28.176202,69.823889,208.37
91,30.981668,69.568992,234.44
92,29.663511,71.918061,229.29
93,28.315591,67.467801,205.81
94,26.123651,70.597289,227.12
95,25.890993,68.093532,211.45
96,26.886257,66.792374,224.93
97,29.373071,69.282663,218.27
98,28.527541,67.640896,215.37
99,28.317536,69.386243,219.03
