,temperature,humidity,rainfall
0,32.466844,87.428332,123.24
1,33.919803,80.037117,117.71
2,30.510127,89.742095,66.61
3,25.281789,89.94566,78.78
4,30.386284,83.520931,99.76
5,28.771741,87.345551,107.28
6,25.279879,87.251116,111.98
7,24.638637,83.053783,115.5
8,28.101347,88.781042,64.21
9,34.240869,86.42056,96.69
10,30.557958,83.059486,94.79
11,30.13024,88.558062,102.58
12,27.395163,89.255288,99.05
13,25.289725,83.664898,74.72
14,30.085346,82.027936,68.82
15,26.673758,86.051423,98.01
16,32.169636,86.911878,102.54
17,34.977198,88.744262,96.85
18,30.125999,89.264723,67.29
19,32.705975,80.722586,106.66
20,30.274193,82.533616,96.45
21,27.636541,87.902849,68.26
22,25.998878,89.861367,83.95
23,28.466047,82.937062,88.77
24,30.363585,80.899843,83.26
25,34.191362,82.758229,82.55
26,31.793519,89.932831,84.19
27,26.05075,84.706088,97.69
28,31.318749,85.477822,88.03
29,34.121218,85.336164,87.83
30,30.547414,86.368282,72.83
31,26.601588,87.325251,78.7
32,33.445292,81.004655,67.97
33,24.527425,84.486227,87.23
34,26.988763,82.912327,68.8
35,27.825078,84.617003,107.01
36,34.5004,88.08751,84.16
37,26.627251,81.035714,97.17
38,29.230858,88.328207,94.39
39,30.365067,87.718631,112.17
40,25.394523,89.65579,74.61
41,34.508251,85.290137,102.62
42,26.032141,81.488184,95.78
43,34.334564,86.068938,88.26
44,30.944062,80.662229,64.33
45,32.996713,86.32645,106.94
46,29.844343,87.167949,81.98
47,33.585564,81.028053,90.11
48,33.722621,80.618182,74.22
49,29.656161,82.818864,102.27
50,24.721887,87.990397,96.98
51,30.3945,87.547709,76.36
52,28.547795,87.028755,115.35
53,28.009123,81.50614,110.22
54,24.230256,84.50873,85.05
55,34.529929,80.219692,73.18
56,26.362746,83.690493,82.38
57,31.728283,84.480196,88.85
58,34.7475,84.445874,78.15
59,24.845518,86.248242,67.17
60,33.656295,80.032094,92.13
61,33.533082,82.888743,73.47
62,33.360507,80.660263,65.22
63,29.429502,81.116489,64.21
64,33.108696,87.033033,65.11
65,26.622222,82.62257,95.14
66,32.177565,80.26744,97.94
67,28.228383,84.626008,74.48
68,25.35518,86.239258,100.87
69,27.484661,80.180011,96.48
70,24.603855,82.719377,105.84
71,33.407827,88.051146,80.83
72,33.807503,82.424001,71.21
73,24.37105,83.31271,91.26
74,27.239776,85.60696,112.89
75,26.764655,87.187392,100.66
76,32.86355,88.706814,111.29
77,34.861246,87.650837,112.09
78,33.92948,87.557097,109.65
79,32.02772,88.268215,121.89
80,32.224666,89.167248,108.0
81,24.226884,86.544676,116.8
82,31.048753,80.820714,121.07
83,24.773469,87.193282,115.5
84,31.769124,86.018094,106.47
85,27.003858,86.364114,123.08
86,26.102,80.533451,63.12
87,28.975995,86.307953,69.27
88,27.105674,84.729667,106.78
89,24.335169,87.533872,63.56
90,24.64596,85.937975,92.72
91,34.987824,85.960204,108.82
92,27.569727,88.769412,89.29
93,25.199746,80.058408,71.19
94,33.567257,87.424228,107.77
95,28.708078,89.558442,78.51
96,30.134685,83.077973,106.55
97,30.497025,89.662869,64.12
98,33.24615,81.05007,92.8
99,25.519742,81.50842,81.24
