,temperature,humidity,rainfall
0,25.621772,69.751405,119.44
1,24.279796,71.880487,121.62
2,26.938265,73.49851,115.39
3,24.624104,70.656896,98.73
4,25.514973,73.762513,116.15
5,25.663774,68.003286,86.14
6,24.578262,70.863292,124.48
7,25.359934,71.210504,83.63
8,25.553246,71.689635,123.66
9,24.167433,70.430054,95.18
10,24.571803,74.518478,83.46
11,26.957848,70.663426,103.76
12,24.801201,68.133292,118.92
13,23.528748,69.964834,112.09
14,26.140633,73.924438,84.47
15,23.435288,68.390902,103.41
16,24.093828,67.968728,88.22
17,23.670301,72.015763,88.22
18,26.706023,72.266765,94.55
19,25.806214,69.717073,111.22
20,26.026912,71.965124,86.36
21,24.011699,74.756674,104.34
22,23.710531,66.202595,123.54
23,24.705918,68.723761,100.1
24,26.184674,72.366688,85.89
25,25.321238,73.998424,122.39
26,25.853287,71.334663,101.37
27,23.019826,72.314045,97.77
28,24.411818,74.967609,102.46
29,23.756199,72.824721,86.0
30,23.163213,69.681499,83.95
31,24.286063,74.839396,95.12
32,24.833608,69.913972,108.21
33,23.442114,72.772202,96.46
34,25.914536,68.427934,110.22
35,26.5464,68.360011,92.54
36,25.853895,71.685219,83.46
37,25.512661,73.438218,113.78
38,23.583574,73.325711,115.02
39,24.90115,72.77894,112.42
40,25.86942,68.751328,114.59
41,23.613737,65.03789,84.27
42,23.853671,74.763517,95.25
43,23.500728,74.381187,116.15
44,23.127123,74.127819,96.97
45,23.838754,65.06103,83.38
46,26.587941,70.199676,116.71
47,25.363961,67.081965,118.29
48,25.79647,74.010625,115.69
49,25.989978,69.085132,84.89
50,23.547374,65.814994,115.33
51,23.470828,74.179925,96.09
52,26.499742,73.3958,118.01
53,25.702497,67.917634,124.34
54,24.770285,67.708763,109.02
55,25.629695,73.638126,99.37
56,26.052241,70.660847,88.1
57,25.082783,68.581203,116.21
58,23.616455,66.778552,98.75
59,23.552484,68.549199,105.33
60,26.782668,68.355524,100.52
61,24.209976,66.259413,117.47
62,23.684037,68.948495,122.58
63,25.737113,66.33462,94.63
64,26.045264,68.846314,86.13
65,25.044491,65.625164,98.03
66,26.202171,67.668351,88.45
67,26.786299,74.159722,115.31
68,23.607203,74.076268,86.58
69,24.191915,73.59136,122.0
70,26.223265,72.638802,114.55
71,25.238028,72.780136,100.88
72,24.286715,68.906314,103.52
73,23.004913,69.735002,102.54
74,26.554212,67.419316,107.25
75,24.822054,74.83611,108.2
76,25.222909,73.846455,108.44
77,23.334828,71.872348,111.5
78,24.562457,67.980944,114.55
79,24.357537,71.571758,110.29
80,25.553439,71.142509,95.65
81,25.242686,72.18087,90.42
82,26.357273,65.380422,123.7
83,26.402763,72.52111,119.2
84,24.739266,74.205409,84.75
85,24.030358,71.830752,91.74
86,23.533736,70.433572,88.5
87,25.9197,68.479153,115.06
88,26.205786,74.551841,111.66
89,26.877401,72.563584,101.48
90,26.465551,73.664655,85.47
91,25.825279,71.175658,97.44
92,24.580808,69.346621,113.16
93,23.827298,65.652054,123.65
94,24.628921,68.712151,106.8
95,25.093968,65.736818,95.69
96,23.986653,67.767604,87.55
97,24.39184,67.610181,124.38
98,26.627205,67.481656,97.15
99,26.365123,73.27897,113.53
