,temperature,humidity,rainfall
0,28.139363,56.352415,81.4
1,30.826998,58.39069,76.71
2,30.370847,55.27354,76.53
3,29.146103,57.836954,94.72
4,29.734188,59.778286,97.49
5,30.753246,64.040023,91.88
6,29.730402,63.052669,74.54
7,28.60806,55.492915,75.79
8,30.425451,61.607974,88.24
9,27.502536,61.2093,63.35
10,29.653307,55.174705,96.43
11,30.111465,57.497906,66.96
12,28.444679,55.702159,77.62
13,27.835349,63.46094,87.23
14,30.047053,56.245197,65.48
15,30.752478,62.386751,72.49
16,27.024101,62.703922,103.87
17,29.823434,61.884301,104.49
18,30.529621,59.511876,69.83
19,30.840852,61.002984,89.07
20,27.029649,63.196243,78.05
21,28.69184,57.293957,63.7
22,30.458586,60.969777,65.87
23,30.44491,56.049029,85.79
24,28.368059,64.283236,63.43
25,28.940021,61.618927,97.72
26,28.768368,57.116544,93.67
27,30.473208,59.220241,78.33
28,28.940842,59.882459,86.75
29,28.136614,58.711163,91.69
30,29.074593,64.099202,71.19
31,29.386474,55.965107,94.53
32,27.624689,63.54611,99.09
33,27.134658,62.887768,67.11
34,29.625727,64.351391,81.82
35,30.449006,56.243845,94.06
36,28.490112,57.423611,87.75
37,28.584861,57.321299,103.33
38,27.408158,58.118465,91.35
39,28.485671,58.445582,71.72
40,29.117992,55.789775,85.65
41,28.826392,64.200523,100.49
42,28.746953,55.847044,102.94
43,29.519465,63.267546,97.35
44,28.372343,60.287542,65.08
45,29.715442,57.094334,69.02
46,29.318555,62.393515,104.49
47,28.230107,64.351331,74.15
48,30.216251,60.923883,97.34
49,27.37916,55.891355,78.22
50,27.099442,62.871216,84.88
51,27.279813,61.545224,70.42
52,28.926854,59.360066,95.46
53,30.883508,55.991356,78.05
54,27.146207,59.351631,93.38
55,28.601782,62.32153,66.1
56,29.33922,62.84014,67.88
57,29.049669,60.075259,100.18
58,30.955747,56.049664,64.2
59,29.444912,55.469804,88.8
60,28.32374,56.6212,74.7
61,30.317971,58.37957,87.82
62,29.480975,64.705085,103.03
63,28.696415,62.316696,71.51
64,27.728391,59.981231,84.96
65,29.828599,64.461675,80.49
66,30.844476,62.727787,95.67
67,28.885074,62.516918,99.32
68,29.686907,58.730621,85.89
69,27.608156,62.710112,67.98
70,30.247664,59.356674,83.37
71,30.35787,57.966161,77.85
72,30.376036,59.573268,89.72
73,28.564653,63.281892,71.48
74,30.732166,61.919564,78.4
75,29.445029,62.645192,83.46
76,29.408607,55.91817,78.21
77,27.543593,60.802389,99.89
78,29.402543,55.294676,71.18
79,29.728999,62.261644,103.55
80,29.597075,61.004004,63.8
81,29.697122,59.253059,76.49
82,28.995802,60.317034,98.33
83,27.529506,64.622663,69.05
84,27.67402,63.258884,75.22
85,30.859637,59.980001,81.05
86,29.25493,59.687461,75.33
87,27.060047,63.776439,82.24
88,30.286753,57.96291,89.34
89,27.049356,56.810147,71.91
90,27.052801,57.641745,89.12
91,27.496622,63.540709,81.34
92,30.091533,62.513989,82.8
93,29.652484,59.69662,93.71
94,27.973103,56.192102,73.44
95,29.538224,56.673457,90.87
96,29.11152,57.686446,78.87
97,28.769095,57.567763,65.72
98,29.421676,61.574553,67.44
99,29.161852,63.85836,99.06
